20231005	17:50:15	53742c76-fef5-4402-88b6-bc1f2c85eb6c	/new-page	 GET
20231005	17:53:10	fc9ead43-f414-4f1f-a499-46cbd803af8b	/new-page	 GET
20231005	17:53:10	0f44d7f7-ad9f-4b97-a52b-d1232e88623b	/css/style.css	 GET
20231005	17:53:10	d2656372-c690-43e8-8711-1f6918cf0f2d	/img/img1.jpg	 GET
20231005	17:53:10	b91d9654-119a-4c51-9d49-a0307f620ef0	/favicon.ico	 GET
20231005	17:59:04	8253d109-3351-4960-90fe-3d51e81274bb	/new-page	 GET
20231006	18:53:54	efff8dd8-ce7f-4582-80ce-7ed2a446c7b4	GET	 undefined 	 /
20231006	18:53:54	2cb75076-9f7a-42c0-8e9c-b31ed31d23b6	GET	 undefined 	 /css/style.css
20231006	18:57:09	fdc7a9d9-af9d-4f25-8cbb-710d931adcf0	GET	 undefined 	 /
20231006	18:57:09	c31b5c44-bf9e-4a97-be5a-e6060744575a	GET	 undefined 	 /css/style.css
20231006	19:00:55	63f0a3ce-f336-455d-8bc0-cd73993559bd	OPTIONS	 https://www.google.com 	 /
20231006	19:00:55	3bd1c3e8-c6de-4118-922a-a033ca02d47a	GET	 https://www.google.com 	 /
20231006	19:32:27	9598dc7f-00f5-4648-9130-a7aa961b7a67	OPTIONS	 https://www.google.com 	 /
20231006	19:32:27	4bc42a67-7737-48bb-9216-30efcf68b750	GET	 https://www.google.com 	 /
20231006	19:33:08	52f64df8-a9aa-4921-ac92-c70929334a9b	OPTIONS	 https://www.google.com 	 /
20231006	19:33:08	0b2cadb6-aaf0-4789-bef6-ef1d3e7569ec	GET	 https://www.google.com 	 /
20231006	19:33:31	04f3ed1a-4614-490f-bbfc-d9417730f1a7	OPTIONS	 https://www.google.com 	 /
20231006	19:33:31	97a89c6c-35f0-4e8f-a2a6-690c7dd5daab	GET	 https://www.google.com 	 /
20231006	19:33:56	f23b4506-fe54-4728-b56f-c5e453b72757	OPTIONS	 https://www.google.com 	 /
20231006	19:33:56	4e54c68a-a4d8-4d42-9628-252e9204779e	GET	 https://www.google.com 	 /
20231006	19:34:59	f37bc3d7-3f9e-464b-8757-9d94a7b15f6a	OPTIONS	 https://www.google.com 	 /
20231006	19:34:59	34c7a73a-0a76-42b1-9a08-e413026f4bdb	GET	 https://www.google.com 	 /
20231006	20:10:12	8d2b102d-10c6-4fb7-8780-1f92a4ec10f5	GET	 undefined 	 /
20231006	20:10:12	e0ec4319-bfa7-4954-b4a3-d615490a9d29	GET	 undefined 	 /css/style.css
20231006	20:10:22	02d6aab6-65c8-402f-85d3-ad1918d907cd	GET	 undefined 	 /
20231006	20:10:22	629a17b5-5913-4b11-915b-614ba6cf3789	GET	 undefined 	 /css/style.css
20231006	20:10:47	e4a8d171-07f7-4f23-9be1-64dbebe957c8	GET	 undefined 	 /css/style.css
